name,district,lat,lon,flats,pop,dist_all,dist_public,openness_penalty,category_all,category_public
On Ting Estate,Tuen Mun,22.3879,113.97684,5100,13770,10.51585088802025,31.80469175968963,21.28884087166938,Well,Well
Fortune Estate,Sham Shui Po,22.33548,114.15388,2100,5670,26.91586372574202,36.75533390334736,9.839470177605342,Well,Well
Butterfly Estate,Tuen Mun,22.37593,113.96182,5400,14580,7.239173367558768,7.239173367558768,0.0,Well,Well
Tin Ching Estate,Yuen Long,22.4629,114.00347,6200,16740,25.902130126708855,25.902130126708855,0.0,Well,Well
Tin Heng Estate,Yuen Long,22.47059,113.99895,5800,15660,7.836100207381924,7.836100207381924,0.0,Well,Well
Tin Shui (2) Estate,Yuen Long,22.45439,113.99914,3200,8640,17.94750454898457,17.94750454898457,0.0,Well,Well
Sai Wan Estate,Central & Western,22.28096,114.12521,600,1620,37.990451379541106,56.987806814724884,18.997355435183778,Well,Well
Hing Tung Estate,Eastern,22.28155,114.21929,2100,5670,6.004925805930178,6.004925805930178,0.0,Well,Well
Choi Hung Estate,Wong Tai Sin,22.33394,114.20742,7400,19980,107.43799057971181,107.43799057971181,0.0,Well,Well
High Prosperity Terrace,Kwai Tsing,22.36482,114.12277,800,2160,9.522789985603882,17.043526618706487,7.520736633102604,Well,Well
Tsz Lok Estate,Wong Tai Sin,22.34891,114.19884,6200,16740,7.730133429007335,7.730133429007335,0.0,Well,Well
Kwong Yuen Estate,Sha Tin,22.38123,114.21415,700,1890,6.135633976053908,72.16750180581818,66.03186782976427,Well,Well
Lek Yuen Estate,Sha Tin,22.38474,114.19059,3200,8640,94.73249081749644,94.73249081749644,0.0,Well,Well
Ma Tau Wai Estate,Kowloon City,22.32392,114.1866,2100,5670,21.724224562740314,77.43132036229136,55.70709579955104,Well,Well
Shek Yam Estate,Kwai Tsing,22.37166,114.13921,2700,7290,26.29352455386923,48.46961773242841,22.17609317855918,Well,Well
Chak On Estate,Sham Shui Po,22.33966,114.16472,1900,5130,71.64696048157597,71.64696048157597,0.0,Well,Well
Cheung Lung Wai Estate,North,22.49495,114.12351,1400,3780,14.761975326806379,28.621562600845465,13.859587274039086,Well,Well
Long Ching Estate,Yuen Long,22.446522,114.02864,400,1080,7.335436772262011,7.335436772262011,0.0,Well,Well
Lei Yue Mun Estate,Kwun Tong,22.29491,114.23978,3600,9720,66.64574892755357,66.64574892755357,0.0,Well,Well
Shun Lee Estate,Kwun Tong,22.33163,114.22553,4500,12150,23.805337024041247,23.805337024041247,0.0,Well,Well
Yee Ming Estate,Sai Kung,22.30624,114.26326,2100,5670,30.69048942692441,30.69048942692441,0.0,Well,Well
Shui Chuen O Estate,Sha Tin,22.37212,114.19826,11100,29970,35.48592128827976,35.48592128827976,0.0,Well,Well
